agrilus	hosts
A. angelicus	Notholithocarpus densiflorus
A. angustulus	Betula pendula
A. angustulus	Castanea sativa
A. angustulus	Corylus avellana
A. angustulus	Fagus sylvatica
A. angustulus	Ostrya carpinifolia
A. arcuatus	Castanea dentata
A. arcuatus	Fagus grandifolia
A. atricornis	Salix nigra
A. biguttatus	Castanea sativa
A. bilineatus	Castanea dentata
A. crinicornis	Diospyros virginiana
A. crinicornis	Fagus grandifolia
A. crinicornis	Gleditsia triacanthos
A. graminis	Castanea sativa
A. graminis	Corylus avellana
A. graminis	Euonymus europaeus
A. graminis	Ostrya carpinifolia
A. hastulifer	Carpinus betulus
A. hastulifer	Castanea sativa
A. laticornis	Castanea sativa
A. laticornis	Corylus avellana
A. obscuricollis	Castanea sativa
A. obscuricollis	Ficus carica
A. obsoletoguttatus	Aesculus glabra
A. obsoletoguttatus	Aesculus pavia
A. obsoletoguttatus	Betula lenta
A. obsoletoguttatus	Carpinus caroliniana
A. obsoletoguttatus	Fagus grandifolia
A. obsoletoguttatus	Fagus sylvatica
A. obsoletoguttatus	Gleditsia triacanthos
A. obsoletoguttatus	Ostrya virginiana
A. osburni	Ostrya virginiana
A. sulcicollis	Fagus sylvatica
