quercus.sp	agrilus.sp	interaction	min.dist.mean	min.dist.mean.norm	min.dist.mean.log	min.dist.median	min.dist.median.norm	min.dist.median.log
Q. arbutifolia	A. acutipennis	0	17148.8392148643	1	0.962925229314908	17170.9979462732	1	0.961780999889964
Q. arbutifolia	A. albocomus	0	20551.3272222033	1	0.996273052532188	20556.6615195384	1	0.996011519665674
Q. arbutifolia	A. angelicus	0	20017.1077388646	1	0.991420306429664	20041.6591865735	1	0.991185553781544
Q. arbutifolia	A. angustulus	0	1176.45849595505	1	0.469261293189144	1193.67321511629	1	0.45466209920317
Q. arbutifolia	A. arcuatus	0	1817.65505447792	1	0.549410824841835	1828.38705040297	1	0.535761644833563
Q. arbutifolia	A. asiaticus	0	133.314605579181	0.971405955358194	0.0681738282391628	135.124059995866	0.974053078748081	0.0403972111494426
Q. arbutifolia	A. atricornis	0	10751.593246561	1	0.876904729792932	10761.2058748212	1	0.872901720525133
Q. arbutifolia	A. auroguttatus	0	20302.7801982691	1	0.994031188808031	20307.9226539793	1	0.993695929122213
Q. arbutifolia	A. biguttatus	0	1864.21158352677	1	0.554070388325588	1875.48979637233	1	0.540599486082968
Q. arbutifolia	A. bilineatus	0	1817.65505447792	1	0.549410824841835	1828.38705040297	1	0.535761644833563
Q. arbutifolia	A. chiricahuae	0	20971.271770509	1	1	20992.2651373145	1	1
Q. arbutifolia	A. coxalis	0	19187.5297815932	1	0.983621726758514	19192.2851053726	1	0.982948637643315
Q. arbutifolia	A. crinicornis	0	1251.42256420727	1	0.480641788087067	1265.37504307666	1	0.46575673180144
Q. arbutifolia	A. cyaneoniger	0	318.505168569596	0.999999998456338	0.228560187528938	328.006754566817	0.999999999548157	0.2089999465596
Q. arbutifolia	A. defectus	0	16511.5648548548	1	0.955947894341166	16519.0320649789	1	0.954418300337726
Q. arbutifolia	A. geminatus	0	10399.3613079539	1	0.870767562768451	10418.4884993459	1	0.866745527820573
Q. arbutifolia	A. graminis	0	1815.22464232912	1	0.549164312762981	1826.01255397181	1	0.535514475979914
Q. arbutifolia	A. grandiceps	0	5664.86303848341	1	0.758845352485769	5681.0529324394	1	0.751395440873124
Q. arbutifolia	A. hastulifer	0	1864.21158352677	1	0.554070388325588	1875.48979637233	1	0.540599486082968
Q. arbutifolia	A. hemiphanes	0	5911.46719247961	1	0.766696277305304	5926.7968066522	1	0.759450158069759
Q. arbutifolia	A. laticornis	0	1852.59718000482	1	0.552918957436575	1863.86498354826	1	0.539416909071774
Q. arbutifolia	A. niveoguttatus	0	2786.64148575417	1	0.628134668052574	2795.91095026673	1	0.616544500876176
Q. arbutifolia	A. obscuricollis	0	1864.21158352677	1	0.554070388325588	1875.48979637233	1	0.540599486082968
Q. arbutifolia	A. obsoletoguttatus	0	1251.05776031221	1	0.480588074120161	1265.00982916897	1	0.465701829775966
Q. arbutifolia	A. osburni	0	11053.7601236989	1	0.882011433744371	11063.4218473307	1	0.878169848472816
Q. arbutifolia	A. parkeri	0	20576.6510124173	1	0.996499946226199	20583.0211905986	1	0.996255266486885
Q. arbutifolia	A. quercicola	0	1817.65505447792	1	0.549410824841835	1828.38705040297	1	0.535761644833563
Q. arbutifolia	A. relegatoides	0	7394.08973586374	1	0.807927982579743	7408.08784487379	1	0.801883036970098
Q. arbutifolia	A. relegatus	0	5664.86303848341	1	0.758845352485769	5681.0529324394	1	0.751395440873124
Q. arbutifolia	A. samai	0	7822.42402912922	1	0.81830350223096	7835.95313415492	1	0.812563185567938
